Date,Symbol,Open,High,Low,Close,Volume LTC,Volume USD
21/11/2018,LTCUSD,32.28,34.44,31.06,34.29,353847.55,11621298.66
20/11/2018,LTCUSD,35.75,37.5,30.25,32.28,737208.95,24541104.14
19/11/2018,LTCUSD,41.86,41.87,34.73,35.75,488783.21,18238406.92
18/11/2018,LTCUSD,41.54,42.95,41.5,41.86,67593.77,2841304.77
17/11/2018,LTCUSD,41.73,41.75,41.15,41.54,65666.56,2720506.51
16/11/2018,LTCUSD,43.36,43.61,41.25,41.73,115269.62,4893664.92
15/11/2018,LTCUSD,42.69,43.74,39.41,43.36,301599,12702582.57
14/11/2018,LTCUSD,48.84,49.95,40.06,42.69,525331.39,22827075.56
13/11/2018,LTCUSD,50.33,50.43,48.31,48.84,92919.55,4594608.72
12/11/2018,LTCUSD,50.8,51.34,50,50.33,60290.29,3048015.96
11/11/2018,LTCUSD,51.86,51.99,49.5,50.8,61890.97,3130894.04
10/11/2018,LTCUSD,51.66,52.23,51.45,51.86,26446.5,1372234.5
09/11/2018,LTCUSD,52.04,52.53,51.07,51.66,69029.83,3569829.48
08/11/2018,LTCUSD,53.82,54.45,51.9,52.04,84158.76,4461404.57
07/11/2018,LTCUSD,55.84,56.4,53.3,53.82,115428.72,6328880.82
06/11/2018,LTCUSD,53.45,55.98,53.43,55.84,135035.44,7344402.38
05/11/2018,LTCUSD,53.88,54.7,52.58,53.45,98711.96,5273113.93
04/11/2018,LTCUSD,50.61,55.94,50.47,53.88,140350.55,7533090.33
03/11/2018,LTCUSD,51.13,51.25,50.34,50.61,41411.14,2105011.84
02/11/2018,LTCUSD,50.19,51.66,50.08,51.13,68870.11,3510457.98
01/11/2018,LTCUSD,49.47,50.45,49.4,50.19,64196.39,3199251.1
31/10/2018,LTCUSD,48.95,50.32,47.6,49.47,87354.81,4289513.06
30/10/2018,LTCUSD,48.44,49.15,48.36,48.95,75959.68,3704735.5
29/10/2018,LTCUSD,51.53,51.63,47.34,48.44,155677.43,7645676.5
28/10/2018,LTCUSD,51.53,51.66,51.11,51.53,37565.28,1930645.5
27/10/2018,LTCUSD,51.59,51.82,51.3,51.53,34674.63,1786316.2
26/10/2018,LTCUSD,51.71,52.38,51.16,51.59,61266.43,3166802.58
25/10/2018,LTCUSD,51.85,51.96,51.54,51.71,40780.03,2109990.65
24/10/2018,LTCUSD,52.1,52.59,51.7,51.85,61781.25,3218217.57
23/10/2018,LTCUSD,51.67,52.49,51.4,52.1,63509.19,3293643.28
22/10/2018,LTCUSD,52.23,52.49,51.4,51.67,68519.49,3553547.81
21/10/2018,LTCUSD,52.83,53.11,52.03,52.23,50064.64,2638376.42
20/10/2018,LTCUSD,52.5,53,52.08,52.83,53320.38,2803078.65
19/10/2018,LTCUSD,51.73,53.12,51.47,52.5,81075.03,4244240.37
18/10/2018,LTCUSD,52.81,53.39,51.01,51.73,82174.6,4286196.91
17/10/2018,LTCUSD,53.1,53.24,52.25,52.81,102032.11,5374713.5
16/10/2018,LTCUSD,53.39,53.44,53.39,53.44,0,0
15/10/2018,LTCUSD,51.36,56.77,51.01,53.39,295022.87,15860780.45
14/10/2018,LTCUSD,53.05,53.35,51.1,51.36,69342.8,3630176.5
13/10/2018,LTCUSD,53.03,53.85,52.52,53.05,74551.19,3966962.55
12/10/2018,LTCUSD,50.55,53.43,50.15,53.03,139811.97,7286078.4
11/10/2018,LTCUSD,57.49,57.49,50.04,50.55,356799.37,18675095.1
10/10/2018,LTCUSD,58.43,58.46,56.85,57.49,90734.4,5211529.05
09/10/2018,LTCUSD,59.24,59.4,58.02,58.43,60769.49,3561212.15
08/10/2018,LTCUSD,57.9,59.79,57.36,59.24,102008.01,5991199.8
07/10/2018,LTCUSD,57.7,58.22,56.85,57.9,53935.11,3105661.63
06/10/2018,LTCUSD,58.47,58.67,56.7,57.7,61074.98,3520809.29
05/10/2018,LTCUSD,58,59.45,57.23,58.47,84392.18,4902017.67
04/10/2018,LTCUSD,57.25,58.9,57.08,58,88523.49,5161534.05
03/10/2018,LTCUSD,59.2,59.32,56.55,57.25,140498.13,8075197.11
02/10/2018,LTCUSD,60.22,61.3,58.6,59.2,106921.89,6404652.31
01/10/2018,LTCUSD,61.05,61.8,59.23,60.22,132603.2,8009840.33
30/09/2018,LTCUSD,61.45,62.99,59.76,61.05,133090.27,8104877.81
29/09/2018,LTCUSD,61.75,62.36,59.05,61.45,112461.91,6842964.12
28/09/2018,LTCUSD,63.11,64.68,60.12,61.75,179051.88,11130512.53
27/09/2018,LTCUSD,57.21,65.6,56.68,63.11,383236.46,23798594.14
26/09/2018,LTCUSD,57.57,59.78,56.37,57.21,183266.01,10602570.32
25/09/2018,LTCUSD,57.94,58.08,54.33,57.57,246934.35,13918199.03
24/09/2018,LTCUSD,61.31,61.4,57.07,57.94,176134.6,10352482.69
23/09/2018,LTCUSD,60.53,63.47,59.83,61.31,155743.69,9564327.11
22/09/2018,LTCUSD,60.83,61.68,58.11,60.53,152108.16,9147292.73
21/09/2018,LTCUSD,56.56,62.75,56.32,60.83,291859.97,17227186.97
20/09/2018,LTCUSD,54.28,57.34,53.37,56.56,138835.05,7621884.46
19/09/2018,LTCUSD,54,54.98,51.7,54.28,208320.35,11159610.33
18/09/2018,LTCUSD,52.05,55.49,50.55,54,167886.39,8902922.73
17/09/2018,LTCUSD,56.78,57.85,51.44,52.05,231736.54,12528090.97
16/09/2018,LTCUSD,56.34,57.45,54.45,56.78,109936.06,6179242.71
15/09/2018,LTCUSD,56.33,58.73,55.55,56.34,117131.5,6717625.06
14/09/2018,LTCUSD,54.66,58.9,52.92,56.33,275176.16,15305874.54
13/09/2018,LTCUSD,51.6,55.42,51.6,54.66,250286.31,13494696.35
12/09/2018,LTCUSD,51.97,52.08,47.19,51.6,305066.54,15222516.24
11/09/2018,LTCUSD,54.3,54.81,50,51.97,194823.82,10177899.62
10/09/2018,LTCUSD,54.71,56.49,53.05,54.3,127290.87,6935616.61
09/09/2018,LTCUSD,53.2,56.74,52.17,54.71,125490.18,6848424.77
08/09/2018,LTCUSD,55.5,57.28,51.9,53.2,145581.99,7882121.73
07/09/2018,LTCUSD,57.48,58.93,55.01,55.5,146384.06,8301902.56
06/09/2018,LTCUSD,57.68,57.75,53.79,57.48,366328.37,20382126.98
05/09/2018,LTCUSD,67.75,68.35,57.41,57.68,353281.47,21920710.12
04/09/2018,LTCUSD,65.37,69.44,65.32,67.75,165774.37,11240472.95
03/09/2018,LTCUSD,66.23,66.51,64.44,65.37,94166.71,6146155.2
02/09/2018,LTCUSD,66.47,66.85,64.1,66.23,121828.54,7981651.12
01/09/2018,LTCUSD,62.13,67.96,62.12,66.47,196193.82,12784799.92
31/08/2018,LTCUSD,60.25,62.8,59.55,62.13,103438.9,6324359.1
30/08/2018,LTCUSD,61.54,61.75,58.58,60.25,130797.92,7835350.54
29/08/2018,LTCUSD,63.18,63.44,60.27,61.54,138425.71,8565803.84
28/08/2018,LTCUSD,60.7,63.91,59.76,63.18,199238.75,12290483.24
27/08/2018,LTCUSD,57.11,61.14,56.64,60.7,127822.78,7473068.88
26/08/2018,LTCUSD,58.01,58.2,56.02,57.11,71919.72,4089626.98
25/08/2018,LTCUSD,57.94,58.36,57.08,58.01,59893.99,3467307.65
24/08/2018,LTCUSD,57.31,58.36,55.55,57.94,107550.66,6155679.55
23/08/2018,LTCUSD,55.2,57.91,55.01,57.31,110150.08,6173435.79
22/08/2018,LTCUSD,56.39,59.21,54.01,55.2,241691.56,13671137.49
21/08/2018,LTCUSD,53.39,56.78,53.15,56.39,120180.33,6633591.04
20/08/2018,LTCUSD,57.85,58.55,53.19,53.39,281442.44,15625693.19
19/08/2018,LTCUSD,57.38,58.98,56.4,57.85,95035.25,5473582.67
18/08/2018,LTCUSD,61.82,62.6,55.66,57.38,156573.54,9189553.55
17/08/2018,LTCUSD,55.47,61.88,55.16,61.82,236829.39,13884443.95
16/08/2018,LTCUSD,54.44,57.68,54.13,55.47,155751.16,8690581.51
15/08/2018,LTCUSD,54.39,59.44,54,54.44,476898.24,26713168.41
14/08/2018,LTCUSD,56.48,56.49,49.33,54.39,431418.42,22435681.77
13/08/2018,LTCUSD,59.44,60.6,55.72,56.48,172704.56,9951473.76
12/08/2018,LTCUSD,55.75,55.75,55.75,55.75,0,0
11/08/2018,LTCUSD,59.14,59.19,55.13,55.75,116332.65,6600948.84
10/08/2018,LTCUSD,63.08,63.36,58.1,59.14,211656.48,12923401.02
09/08/2018,LTCUSD,62.27,65.14,60.25,63.08,205859.39,12959885.79
08/08/2018,LTCUSD,67.36,67.49,61.01,62.27,410758.15,26376108.87
07/08/2018,LTCUSD,73.58,75.05,66.6,67.36,203968.15,14392252.79
06/08/2018,LTCUSD,74.65,76.84,72.51,73.58,100217.62,7436281.4
05/08/2018,LTCUSD,73.04,74.71,72.41,74.65,70573,5201606.17
04/08/2018,LTCUSD,77.6,78,72.32,73.04,114293.39,8551761.27
03/08/2018,LTCUSD,76.23,77.8,75,77.6,117975.96,8975921.38
02/08/2018,LTCUSD,77.64,78.39,75.51,76.23,101026.44,7748435.75
01/08/2018,LTCUSD,78.86,79.07,75.97,77.64,131259.72,10149354.3
31/07/2018,LTCUSD,82.22,82.43,76.01,78.86,169892.45,13341990.38
30/07/2018,LTCUSD,83.93,84.7,79.76,82.22,123817.34,10178434.96
29/07/2018,LTCUSD,83.99,85.25,83.41,83.93,47509.2,3993395.82
28/07/2018,LTCUSD,84.52,84.7,82.51,83.99,51582.75,4316430.8
27/07/2018,LTCUSD,83.46,85.15,81.6,84.52,132020.07,11031450.77
26/07/2018,LTCUSD,86.35,87.87,82.79,83.46,107424.87,9206351.79
25/07/2018,LTCUSD,89.06,90.6,84.82,86.35,161323.04,14078929.7
24/07/2018,LTCUSD,81.52,89.5,81,89.06,243602.54,21111680.12
23/07/2018,LTCUSD,82.22,85.8,81.34,81.52,139413.53,11679237.39
22/07/2018,LTCUSD,83.5,83.98,81.81,82.22,71405.13,5924930.16
21/07/2018,LTCUSD,81.72,84.69,79.77,83.5,87410.54,7205204.86
20/07/2018,LTCUSD,86.14,86.61,81,81.72,176063.2,14768963.44
19/07/2018,LTCUSD,86.27,88.9,85.01,86.14,129490.51,11210571.13
18/07/2018,LTCUSD,88.98,94.39,85.11,86.27,280065.47,25231114.76
17/07/2018,LTCUSD,83.53,90.07,81.55,88.98,240477.73,20813382.88
16/07/2018,LTCUSD,78.51,84,77.8,83.53,148221.45,12126546.86
